ISO3,ISO2,Country,Area,Population
AGO,AG,Angola,"1,246,700","25,646,166"
BWA,BW,Botswana,"582,000","2,024,904"
COM,KM,Comoros,"2,235","575,660"
COD,CD,Democratic Republic of the Congo,"2,344,858","78,736,153"
SWZ,SZ,Eswatini,"17,363","844,223"
LSO,LS,Lesotho,"30,355","1,741,406"
MDG,MG,Madagascar,"587,295","12,238,914"
MWI,MW,Malawi,"118,484","13,077,160"
MUS,MU,Mauritius,"1,969","1,237,000"
MOZ,MS,Mozambique,"801,590","20,252,223"
NAM,NA,Namibia,"824,268","2,104,900"
SYC,SC,Seychelles,456,"90,945"
ZAF,ZA,South Africa,"1,221,037","56,000,000"
TZA,TZ,Tanzania,"947,303","44,928,923"
ZMB,ZM,Zambia,"752,612","13,046,508"
ZWE,ZW,Zimbabwe,"390,757","12,973,808"
